"symbol","date","open","high","low","close","volume","adjusted"
"MGLU3",2011-05-02,0.503125,0.51875,0.503125,0.514062,280003200,0.463173
"MGLU3",2011-05-03,0.515625,0.521562,0.50625,0.509375,33670400,0.45895
"MGLU3",2011-05-04,0.51,0.515,0.51,0.515,39203200,0.464018
"MGLU3",2011-05-05,0.512812,0.512812,0.51,0.511875,35097600,0.461202
"MGLU3",2011-05-06,0.510937,0.511875,0.5,0.508125,38672000,0.457824
"MGLU3",2011-05-09,0.506562,0.507812,0.50125,0.503125,667680,0.453319
"MGLU3",2011-05-10,0.503125,0.503125,0.503125,0.503125,0,0.453319
"MGLU3",2011-05-11,0.507812,0.515625,0.507812,0.5125,6240000,0.461765
"MGLU3",2011-05-12,0.506875,0.513125,0.50625,0.513125,7360000,0.462329
"MGLU3",2011-05-13,0.5125,0.5125,0.5075,0.510937,7046400,0.460357
"MGLU3",2011-05-16,0.510937,0.510937,0.510937,0.510937,0,0.460357
"MGLU3",2011-05-17,0.503125,0.504687,0.500625,0.503125,5532800,0.453319
"MGLU3",2011-05-18,0.501562,0.504062,0.492812,0.49375,22262400,0.444872
"MGLU3",2011-05-19,0.49375,0.499375,0.4925,0.494687,14163200,0.445716
"MGLU3",2011-05-20,0.494062,0.499687,0.484687,0.498125,10518400,0.448814
"MGLU3",2011-05-23,0.4925,0.49625,0.485937,0.49625,8752000,0.447124
"MGLU3",2011-05-24,0.498437,0.5,0.484687,0.489687,33539200,0.441211
"MGLU3",2011-05-25,0.489062,0.489062,0.474687,0.475,18569600,0.427978
"MGLU3",2011-05-26,0.474375,0.492187,0.474375,0.491562,11814400,0.4429
"MGLU3",2011-05-27,0.487187,0.496875,0.485,0.49375,16630400,0.444872
"MGLU3",2011-05-30,0.4875,0.499375,0.4875,0.498437,4662400,0.449095
"MGLU3",2011-05-31,0.5,0.5,0.489062,0.5,35980800,0.450503
"MGLU3",2011-06-01,0.495937,0.508437,0.493125,0.50625,14060800,0.456134
"MGLU3",2011-06-02,0.5,0.515625,0.5,0.5125,13865600,0.461765
"MGLU3",2011-06-03,0.50625,0.521875,0.50625,0.521875,12969600,0.470212
"MGLU3",2011-06-06,0.517812,0.525625,0.514375,0.521875,10441600,0.470212
"MGLU3",2011-06-07,0.51875,0.524062,0.513125,0.521562,18960000,0.46993
"MGLU3",2011-06-08,0.520937,0.52125,0.513437,0.518125,10473600,0.466834
"MGLU3",2011-06-09,0.515937,0.539687,0.515625,0.534375,36128000,0.481475
"MGLU3",2011-06-10,0.529687,0.535937,0.519375,0.535937,14844800,0.482882
"MGLU3",2011-06-13,0.535937,0.555,0.534375,0.540625,26368000,0.487106
"MGLU3",2011-06-14,0.54375,0.548437,0.520937,0.535,19737600,0.482038
"MGLU3",2011-06-15,0.534375,0.534375,0.5225,0.527812,15379200,0.475562
"MGLU3",2011-06-16,0.515625,0.527187,0.499687,0.525,19196800,0.473028
"MGLU3",2011-06-17,0.521875,0.523125,0.501562,0.515625,7590400,0.464581
"MGLU3",2011-06-20,0.510312,0.5125,0.500937,0.50625,7673600,0.456134
"MGLU3",2011-06-21,0.503125,0.52125,0.502812,0.51875,5961600,0.467397
"MGLU3",2011-06-22,0.51125,0.52125,0.5075,0.507812,10425600,0.457542
"MGLU3",2011-06-24,0.511875,0.519687,0.503437,0.50625,6016000,0.456134
"MGLU3",2011-06-27,0.514687,0.514687,0.494375,0.5,9404800,0.450503
"MGLU3",2011-06-28,0.500312,0.5075,0.497812,0.5075,10067200,0.45726
"MGLU3",2011-06-29,0.50625,0.513125,0.5025,0.513125,9449600,0.462329
"MGLU3",2011-06-30,0.508125,0.511562,0.5,0.507812,17027200,0.457542
"MGLU3",2011-07-01,0.509062,0.509375,0.496875,0.50625,19334400,0.456134
"MGLU3",2011-07-04,0.504375,0.5125,0.500625,0.5125,8060800,0.461765
"MGLU3",2011-07-05,0.515625,0.527187,0.514062,0.524062,40854400,0.472183
"MGLU3",2011-07-06,0.52375,0.524375,0.51875,0.521875,15392000,0.470212
"MGLU3",2011-07-07,0.523125,0.528125,0.5125,0.5125,10969600,0.461765
"MGLU3",2011-07-08,0.512187,0.5125,0.500312,0.509375,17078400,0.45895
"MGLU3",2011-07-11,0.503125,0.50875,0.484687,0.485937,18057600,0.437832
"MGLU3",2011-07-12,0.48625,0.5,0.476562,0.498437,13737600,0.449095
"MGLU3",2011-07-13,0.499062,0.499375,0.479687,0.492187,15334400,0.443463
"MGLU3",2011-07-14,0.485937,0.490625,0.46875,0.46875,12419200,0.422346
"MGLU3",2011-07-15,0.472187,0.47375,0.448125,0.453125,12384000,0.408268
"MGLU3",2011-07-18,0.455312,0.455625,0.432812,0.433437,13177600,0.390529
"MGLU3",2011-07-19,0.437187,0.465,0.434062,0.4625,19712000,0.416715
"MGLU3",2011-07-20,0.465312,0.469687,0.447187,0.447187,9376000,0.402918
"MGLU3",2011-07-21,0.452812,0.454687,0.440312,0.448125,8876800,0.403763
"MGLU3",2011-07-22,0.44875,0.465625,0.447187,0.465625,12595200,0.419531
"MGLU3",2011-07-25,0.448437,0.478125,0.448437,0.454062,109504,0.409112
"MGLU3",2011-07-26,0.460937,0.4825,0.45625,0.4825,12361600,0.434735
"MGLU3",2011-07-27,0.478125,0.478125,0.455,0.466875,11113600,0.420657
"MGLU3",2011-07-28,0.468125,0.46875,0.442187,0.442187,22259200,0.398413
"MGLU3",2011-07-29,0.445312,0.445312,0.42625,0.429687,62688,0.38715
"MGLU3",2011-08-01,0.4375,0.445312,0.42125,0.437187,8393600,0.393908
"MGLU3",2011-08-02,0.437187,0.441875,0.429375,0.436875,9388800,0.393627
"MGLU3",2011-08-03,0.432812,0.43875,0.39625,0.420312,16896000,0.378704
"MGLU3",2011-08-04,0.40625,0.40625,0.382187,0.384375,14230400,0.346324
"MGLU3",2011-08-05,0.375,0.392187,0.347187,0.37,21920000,0.333372
"MGLU3",2011-08-08,0.33125,0.35375,0.33125,0.34375,12880000,0.309721
"MGLU3",2011-08-09,0.344687,0.357187,0.325937,0.35,28848000,0.315352
"MGLU3",2011-08-10,0.342187,0.351562,0.334062,0.351562,27260800,0.316759
"MGLU3",2011-08-11,0.35125,0.390312,0.347187,0.390312,16083200,0.351673
"MGLU3",2011-08-12,0.39,0.41375,0.377812,0.412187,15308800,0.371383
"MGLU3",2011-08-15,0.403437,0.421562,0.403437,0.418125,7859200,0.376733
"MGLU3",2011-08-16,0.407812,0.415625,0.391562,0.410625,8409600,0.369976
"MGLU3",2011-08-17,0.410625,0.418125,0.406562,0.413125,9555200,0.372228
"MGLU3",2011-08-18,0.405937,0.414687,0.376875,0.414687,9305600,0.373635
"MGLU3",2011-08-19,0.404062,0.412812,0.396562,0.40125,16832000,0.361529
"MGLU3",2011-08-22,0.401875,0.410625,0.392812,0.399375,7532800,0.359839
"MGLU3",2011-08-23,0.397187,0.401875,0.392812,0.3975,8995200,0.35815
"MGLU3",2011-08-24,0.399375,0.399375,0.385312,0.390625,9436800,0.351955
"MGLU3",2011-08-25,0.395937,0.405312,0.377187,0.384375,7017600,0.346324
"MGLU3",2011-08-26,0.378125,0.385625,0.36875,0.371875,12739200,0.335062
"MGLU3",2011-08-29,0.37375,0.380312,0.371875,0.379687,22272000,0.3421
"MGLU3",2011-08-30,0.375312,0.390625,0.375,0.385937,16329600,0.347731
"MGLU3",2011-08-31,0.389062,0.403125,0.389062,0.401562,31302400,0.36181
"MGLU3",2011-09-01,0.429687,0.4375,0.415937,0.436562,47180800,0.393345
"MGLU3",2011-09-02,0.431562,0.449687,0.41875,0.44375,33654400,0.399821
"MGLU3",2011-09-05,0.44375,0.44375,0.425,0.441875,17324800,0.398132
"MGLU3",2011-09-06,0.433437,0.459062,0.425937,0.459062,19475200,0.413618
"MGLU3",2011-09-08,0.456875,0.474375,0.448125,0.455937,21238400,0.410802
"MGLU3",2011-09-09,0.455937,0.4575,0.430312,0.45,13401600,0.405453
"MGLU3",2011-09-12,0.4375,0.454687,0.433437,0.454687,14668800,0.409676
"MGLU3",2011-09-13,0.455625,0.464375,0.440937,0.445312,12812800,0.401229
"MGLU3",2011-09-14,0.4525,0.454062,0.425625,0.4375,26988800,0.39419
"MGLU3",2011-09-15,0.445312,0.451562,0.429687,0.437187,12057600,0.393908
"MGLU3",2011-09-16,0.434687,0.44625,0.428125,0.43125,30208000,0.388559
"MGLU3",2011-09-19,0.428125,0.436562,0.424687,0.432187,10259200,0.389403
"MGLU3",2011-09-20,0.43125,0.434062,0.421875,0.421875,14361600,0.380112
"MGLU3",2011-09-21,0.42375,0.428125,0.406875,0.409375,18006400,0.368849
"MGLU3",2011-09-22,0.389062,0.4,0.370625,0.380937,21353600,0.343226
"MGLU3",2011-09-23,0.379375,0.385937,0.365312,0.378125,24832000,0.340693
"MGLU3",2011-09-26,0.387187,0.3875,0.375,0.380625,15862400,0.342945
"MGLU3",2011-09-27,0.389062,0.39375,0.38,0.390312,13081600,0.351673
"MGLU3",2011-09-28,0.39,0.390625,0.38,0.384375,11888000,0.346324
"MGLU3",2011-09-29,0.383125,0.386562,0.379687,0.379687,15552000,0.3421
"MGLU3",2011-09-30,0.377187,0.377187,0.359375,0.366875,30537600,0.330557
"MGLU3",2011-10-03,0.364062,0.368437,0.350312,0.350625,17628800,0.315915
"MGLU3",2011-10-04,0.346875,0.355625,0.345625,0.349687,14841600,0.31507
"MGLU3",2011-10-05,0.355937,0.362812,0.345937,0.357812,9440000,0.322391
"MGLU3",2011-10-06,0.365625,0.366875,0.349687,0.3625,11027200,0.326615
"MGLU3",2011-10-07,0.3625,0.368437,0.34625,0.35,12972800,0.315352
"MGLU3",2011-10-10,0.353125,0.3625,0.352812,0.3625,14236800,0.326615
"MGLU3",2011-10-11,0.359687,0.367187,0.353125,0.364062,18096000,0.328022
"MGLU3",2011-10-13,0.360312,0.374375,0.356875,0.374375,23372800,0.337314
"MGLU3",2011-10-14,0.371875,0.3825,0.367812,0.3825,22451200,0.344635
"MGLU3",2011-10-17,0.38125,0.381875,0.370312,0.373437,16764800,0.336469
"MGLU3",2011-10-18,0.38125,0.381875,0.370312,0.373437,16764800,0.336469
"MGLU3",2011-10-19,0.38125,0.396562,0.37875,0.389062,29472000,0.350547
"MGLU3",2011-10-20,0.387187,0.390625,0.3825,0.389687,18412800,0.35111
"MGLU3",2011-10-21,0.389687,0.394375,0.386562,0.389687,17545600,0.35111
"MGLU3",2011-10-24,0.39125,0.395625,0.389687,0.391875,15728000,0.353082
"MGLU3",2011-10-25,0.39125,0.395625,0.389687,0.391875,15728000,0.353082
"MGLU3",2011-10-26,0.391562,0.394062,0.37875,0.388125,13856000,0.349703
"MGLU3",2011-10-27,0.392187,0.39375,0.384375,0.39375,20105600,0.354771
"MGLU3",2011-10-28,0.407812,0.411875,0.4,0.404687,33849600,0.364625
"MGLU3",2011-10-31,0.405937,0.420312,0.402812,0.41875,18134400,0.377296
